"Image Name","PID","Session Name","Session#","Mem Usage"
"svchost.exe","7408","Services","0","8,680 K"
"csrss.exe","7208","Console","4","2,452 K"
"winlogon.exe","14504","Console","4","2,336 K"
"fontdrvhost.exe","2896","Console","4","2,272 K"
"dwm.exe","1968","Console","4","30,464 K"
"atieclxx.exe","17060","Console","4","3,116 K"
"uihost.exe","13708","Console","4","16 K"
"dptf_helper.exe","9104","Console","4","672 K"
"RAVBg64.exe","7504","Console","4","404 K"
"sihost.exe","15864","Console","4","13,328 K"
"svchost.exe","8668","Console","4","8,648 K"
"svchost.exe","1312","Console","4","15,036 K"
"explorer.exe","12836","Console","4","82,296 K"
"taskhostw.exe","17048","Console","4","5,596 K"
"MotoHelperAgent.exe","13504","Console","4","996 K"
"igfxEM.exe","14480","Console","4","3,532 K"
"McUICnt.exe","19232","Console","4","1,464 K"
"ShellExperienceHost.exe","14420","Console","4","51,884 K"
"dllhost.exe","15616","Console","4","4,632 K"
"SearchUI.exe","7128","Console","4","1,45,068 K"
"RuntimeBroker.exe","17036","Console","4","4,808 K"
"SupportAssistAppWire.exe","14788","Console","4","3,312 K"
"RuntimeBroker.exe","15608","Console","4","22,232 K"
"ctfmon.exe","4996","Console","4","6,896 K"
"SkypeBackgroundHost.exe","12652","Console","4","544 K"
"RadeonSettings.exe","12820","Console","4","2,300 K"
"MSASCuiL.exe","11020","Console","4","612 K"
"RtkNGUI64.exe","5760","Console","4","1,064 K"
"RAVBg64.exe","7760","Console","4","956 K"
"WavesSvc64.exe","16044","Console","4","2,692 K"
"OneDrive.exe","1052","Console","4","2,000 K"
"RadeonSettings.exe","15788","Console","4","2,288 K"
"RadeonSettings.exe","17908","Console","4","4,628 K"
"RadeonSettings.exe","18116","Console","4","4,688 K"
"ModuleCoreService.exe","8","Console","4","812 K"
"conhost.exe","17256","Console","4","16 K"
"IAStorIcon.exe","6844","Console","4","1,576 K"
"svchost.exe","8540","Console","4","1,856 K"
"RuntimeBroker.exe","14424","Console","4","11,632 K"
"LockApp.exe","15036","Console","4","232 K"
"RuntimeBroker.exe","8200","Console","4","6,008 K"
"dllhost.exe","11268","Console","4","6,088 K"
"ApplicationFrameHost.exe","12672","Console","4","14,268 K"
"WinStore.App.exe","17464","Console","4","48 K"
"RuntimeBroker.exe","2416","Console","4","348 K"
"sublime_text.exe","2260","Console","4","9,580 K"
"plugin_host.exe","3864","Console","4","2,924 K"
"atiw.exe","4264","Console","4","1,520 K"
"SkypeApp.exe","748","Console","4","16 K"
"RuntimeBroker.exe","4744","Console","4","2,860 K"
"chrome.exe","8948","Console","4","1,50,544 K"
"chrome.exe","11504","Console","4","3,412 K"
"chrome.exe","19244","Console","4","1,104 K"
"chrome.exe","16140","Console","4","38,372 K"
"chrome.exe","15148","Console","4","22,684 K"
"cmd.exe","15824","Console","4","196 K"
"conhost.exe","9596","Console","4","476 K"
"browserhost.exe","3336","Console","4","2,780 K"
"chrome.exe","3328","Console","4","6,048 K"
"pythonw.exe","11512","Console","4","15,684 K"
"svchost.exe","4020","Services","0","1,068 K"
"RNDBWMService.exe","7524","Services","0","1,636 K"
"RNDBWM.exe","14968","Services","0","3,684 K"
"conhost.exe","7184","Services","0","772 K"
"WmiPrvSE.exe","6476","Services","0","6,732 K"
"chrome.exe","10340","Console","4","57,856 K"
"pythonw.exe","15980","Console","4","2,908 K"
"taskhostw.exe","15968","Console","4","3,076 K"
"chrome.exe","2932","Console","4","1,38,996 K"
"cmd.exe","6568","Console","4","3,284 K"
"conhost.exe","3844","Console","4","10,064 K"
"chrome.exe","18860","Console","4","44,608 K"
"svchost.exe","19504","Services","0","5,660 K"
"chrome.exe","6840","Console","4","66,736 K"
"chrome.exe","13228","Console","4","67,488 K"
"chrome.exe","3992","Console","4","35,500 K"
"chrome.exe","12224","Console","4","22,564 K"
"tasklist.exe","16120","Console","4","7,544 K"
"WmiPrvSE.exe","1548","Services","0","8,644 K"
